"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it '[[s]] a [[charming]] and [[often]] affecting [[journey]] . ","it '[[mho]] a [[becharm]] and [[frequently]] affecting [[travel]] . ",0.00022298097610473633,0.04091668128967285,1,1,1,16,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.9986571669578552,0.9986571669578552,1,1,0,1,"Skipped"
"[[allows]] us to hope that nolan is poised to embark a major [[career]] [[as]] a commercial yet [[inventive]] filmmaker . ","[[earmark]] us to hope that nolan is poised to embark a major [[vocation]] [[axerophthol]] a commercial yet [[imaginative]] filmmaker . ",0.03788381814956665,0.7588844299316406,1,0,1,29,"Successful"
"the acting , [[costumes]] , music , cinematography and [[sound]] are all [[astounding]] given the production 's austere locales . ","the acting , [[costume]] , music , cinematography and [[wakeless]] are all [[dumbfounding]] given the production 's austere locales . ",0.018721461296081543,0.9997054934501648,1,0,1,24,"Successful"
"it 's slow -- very , very slow . ","it 's slow -- very , very slow . ",0.9566690325737,0.9566690325737,1,1,0,1,"Skipped"
"although [[laced]] with humor and a few fanciful [[touches]] , the [[film]] is a refreshingly [[serious]] [[look]] at [[young]] women . ","although [[enlace]] with humor and a few fanciful [[affect]] , the [[picture]] is a refreshingly [[unplayful]] [[see]] at [[unseasoned]] women . ",0.0001392364501953125,0.0002148747444152832,1,1,1,44,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[long-winded]] film . ",0.09332358837127686,0.9959009289741516,0,1,0,13,"Successful"
"or [[doing]] [[last]] year 's [[taxes]] with your [[ex-wife]] . ","or [[coiffe]] [[finale]] year 's [[tax]] with your [[ex]] . ",0.036605656147003174,0.34525418281555176,0,0,0,22,"Failed"
"you [[do]] n't have to [[know]] [[about]] [[music]] to [[appreciate]] the [[film]] '[[s]] easygoing [[blend]] of [[comedy]] and romance . ","you [[coiffe]] n't have to [[cognise]] [[roughly]] [[euphony]] to [[revalue]] the [[movie]] '[[sec]] easygoing [[intermingle]] of [[drollery]] and romance . ",0.00027042627334594727,0.0036200881004333496,1,1,1,60,"Failed"
"in [[exactly]] 89 [[minutes]] , most of which passed as slowly as if i 'd been [[sitting]] [[naked]] on an [[igloo]] , formula 51 [[sank]] from [[quirky]] to [[jerky]] to [[utter]] turkey . ","in [[precisely]] 89 [[min]] , most of which passed as slowly as if i 'd been [[seated]] [[bare]] on an [[iglu]] , formula 51 [[sink]] from [[far-out]] to [[anserine]] to [[verbalize]] turkey . ",0.00019437074661254883,0.02028942108154297,0,0,0,61,"Failed"
"the [[mesmerizing]] performances of the leads [[keep]] the [[film]] [[grounded]] and [[keep]] the audience riveted . ","the [[magnetize]] performances of the leads [[sustain]] the [[flick]] [[undercoat]] and [[hold]] the audience riveted . ",0.00027292966842651367,0.002005934715270996,1,1,1,40,"Failed"
"it takes a strange kind of laziness to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to [[thriftlessness]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.008154690265655518,0.6506518125534058,0,1,0,23,"Successful"
"... the [[film]] suffers from a lack of [[humor]] ( something needed to balance out the [[violence]] ) ... ","... the [[cinema]] suffers from a lack of [[wittiness]] ( something needed to balance out the [[vehemence]] ) ... ",0.001989424228668213,0.8733281493186951,0,1,0,22,"Successful"
"we [[root]] for ( clara and paul ) , even like them , though perhaps it 's an emotion [[closer]] to pity . ","we [[etymon]] for ( clara and paul ) , even like them , though perhaps it 's an emotion [[cheeseparing]] to pity . ",0.004952788352966309,0.7717447280883789,1,0,1,31,"Successful"
"[[even]] [[horror]] fans will most likely not find what they '[[re]] seeking with [[trouble]] every day ; the [[movie]] [[lacks]] both [[thrills]] and [[humor]] . ","[[still]] [[repugnance]] fans will most likely not find what they '[[rhenium]] seeking with [[problem]] every day ; the [[film]] [[lack]] both [[exhilarate]] and [[wittiness]] . ",0.00020354986190795898,0.6211415529251099,0,1,0,51,"Successful"
"a gorgeous , [[high-spirited]] musical from india that exquisitely blends music , [[dance]] , [[song]] , and [[high]] drama . ","a gorgeous , [[exuberant]] musical from india that exquisitely blends music , [[dancing]] , [[birdcall]] , and [[high-pitched]] drama . ",0.0002886652946472168,0.0003829002380371094,1,1,1,38,"Failed"
"the [[emotions]] are [[raw]] and will strike a nerve with anyone who 's ever had [[family]] trauma . ","the [[emotion]] are [[crude]] and will strike a nerve with anyone who 's ever had [[phratry]] trauma . ",0.00023573637008666992,0.6899210214614868,1,0,1,26,"Successful"
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french [[comedy]] , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french [[drollery]] , she 's as morning-glory exuberant as she was in amélie . ",0.00877225399017334,0.999334990978241,1,0,1,26,"Successful"
"... the movie is [[just]] a plain old [[monster]] . ","... the movie is [[hardly]] a plain old [[teras]] . ",0.0026956796646118164,0.9954805970191956,0,1,0,23,"Successful"
"in its best moments , resembles a [[bad]] high school production of grease , without benefit of song . ","in its best moments , resembles a [[unsound]] high school production of grease , without benefit of song . ",0.0007027387619018555,0.6072436571121216,0,1,0,17,"Successful"
